epoch,accuracy,loss,val_accuracy,val_loss
0,0.9780101776123047,0.6720997095108032,1.0,0.6071242094039917
1,1.0,0.3252783417701721,1.0,0.005743898916989565
2,1.0,0.0012827825266867876,1.0,4.045407422381686e-06
3,1.0,9.305447861152061e-07,1.0,5.400909941499776e-09
4,1.0,3.1794661348172326e-10,1.0,1.5960157322266952e-14
5,1.0,1.5789769471616477e-17,1.0,3.273978239155791e-22
6,1.0,9.334503967224373e-29,1.0,6.16571914373533e-30
7,1.0,2.620880310486264e-36,1.0,1.871723640999686e-36
8,1.0,0.0,1.0,0.0
9,1.0,0.0,1.0,0.0
10,1.0,0.0,1.0,0.0
11,1.0,0.0,1.0,0.0
12,1.0,0.0,1.0,0.0
13,1.0,0.0,1.0,0.0
14,1.0,0.0,1.0,0.0
15,1.0,0.0,1.0,0.0
16,1.0,0.0,1.0,0.0
17,1.0,0.0,1.0,0.0
18,1.0,0.0,1.0,0.0
19,1.0,0.0,1.0,0.0
20,1.0,0.0,1.0,0.0
21,1.0,0.0,1.0,0.0
22,1.0,0.0,1.0,0.0
23,1.0,0.0,1.0,0.0
24,1.0,0.0,1.0,0.0
25,1.0,0.0,1.0,0.0
26,1.0,0.0,1.0,0.0
27,1.0,0.0,1.0,0.0
28,1.0,0.0,1.0,0.0
